document_name,source_file,table_type,crop,province,unit,source_page,parse_method,suitability_level,area_rai,rag_text
พื้นที่ความเหมาะสมพืชรายจังหวัด,-13-pdf (1).pdf,crop_suitability_by_province,กาแฟ(โรบัสต้า),กาญจนบุรี,ไร่,20,table,s1,8,พืช กาแฟ(โรบัสต้า) จังหวัด กาญจนบุรี ระดับความเหมาะสม s1 มีเนื้อที่ 8 ไร่
พื้นที่ความเหมาะสมพืชรายจังหวัด,-13-pdf (1).pdf,crop_suitability_by_province,กาแฟ(โรบัสต้า),ชัยภูมิ,ไร่,20,table,s1,11,พืช กาแฟ(โรบัสต้า) จังหวัด ชัยภูมิ ระดับความเหมาะสม s1 มีเนื้อที่ 11 ไร่
พื้นที่ความเหมาะสมพืชรายจังหวัด,-13-pdf (1).pdf,crop_suitability_by_province,กาแฟ(โรบัสต้า),ชุมพร,ไร่,20,table,s1,884,พืช กาแฟ(โรบัสต้า) จังหวัด ชุมพร ระดับความเหมาะสม s1 มีเนื้อที่ 884 ไร่
พื้นที่ความเหมาะสมพืชรายจังหวัด,-13-pdf (1).pdf,crop_suitability_by_province,กาแฟ(โรบัสต้า),ตาก,ไร่,20,table,s1,67,พืช กาแฟ(โรบัสต้า) จังหวัด ตาก ระดับความเหมาะสม s1 มีเนื้อที่ 67 ไร่
พื้นที่ความเหมาะสมพืชรายจังหวัด,-13-pdf (1).pdf,crop_suitability_by_province,กาแฟ(โรบัสต้า),ระนอง,ไร่,20,table,s1,1497,พืช กาแฟ(โรบัสต้า) จังหวัด ระนอง ระดับความเหมาะสม s1 มีเนื้อที่ 1497 ไร่
พื้นที่ความเหมาะสมพืชรายจังหวัด,-13-pdf (1).pdf,crop_suitability_by_province,กาแฟ(โรบัสต้า),สุราษฎร์ธานี,ไร่,20,table,s1,72,พืช กาแฟ(โรบัสต้า) จังหวัด สุราษฎร์ธานี ระดับความเหมาะสม s1 มีเนื้อที่ 72 ไร่
พื้นที่ความเหมาะสมพืชรายจังหวัด,-13-pdf (1).pdf,crop_suitability_by_province,กาแฟ(โรบัสต้า),สุโขทัย,ไร่,20,table,s1,5,พืช กาแฟ(โรบัสต้า) จังหวัด สุโขทัย ระดับความเหมาะสม s1 มีเนื้อที่ 5 ไร่
พื้นที่ความเหมาะสมพืชรายจังหวัด,-13-pdf (1).pdf,crop_suitability_by_province,กาแฟ(โรบัสต้า),เชียงราย,ไร่,20,table,s1,35,พืช กาแฟ(โรบัสต้า) จังหวัด เชียงราย ระดับความเหมาะสม s1 มีเนื้อที่ 35 ไร่
พื้นที่ความเหมาะสมพืชรายจังหวัด,-13-pdf (1).pdf,crop_suitability_by_province,กาแฟ(โรบัสต้า),เชียงใหม่,ไร่,20,table,s1,2,พืช กาแฟ(โรบัสต้า) จังหวัด เชียงใหม่ ระดับความเหมาะสม s1 มีเนื้อที่ 2 ไร่
พื้นที่ความเหมาะสมพืชรายจังหวัด,-13-pdf (1).pdf,crop_suitability_by_province,กาแฟ(โรบัสต้า),เลย,ไร่,20,table,s1,54,พืช กาแฟ(โรบัสต้า) จังหวัด เลย ระดับความเหมาะสม s1 มีเนื้อที่ 54 ไร่
พื้นที่ความเหมาะสมพืชรายจังหวัด,-13-pdf (1).pdf,crop_suitability_by_province,กาแฟ(โรบัสต้า),แพร่,ไร่,20,table,s1,63,พืช กาแฟ(โรบัสต้า) จังหวัด แพร่ ระดับความเหมาะสม s1 มีเนื้อที่ 63 ไร่
พื้นที่ความเหมาะสมพืชรายจังหวัด,-13-pdf (1).pdf,crop_suitability_by_province,ข้าว,กระบี่,ไร่,2,table,s1,890,พืช ข้าว จังหวัด กระบี่ ระดับความเหมาะสม s1 มีเนื้อที่ 890 ไร่
พื้นที่ความเหมาะสมพืชรายจังหวัด,-13-pdf (1).pdf,crop_suitability_by_province,ข้าว,กรุงเทพมหานคร,ไร่,1,table,s1,115430,พืช ข้าว จังหวัด กรุงเทพมหานคร ระดับความเหมาะสม s1 มีเนื้อที่ 115430 ไร่
พื้นที่ความเหมาะสมพืชรายจังหวัด,-13-pdf (1).pdf,crop_suitability_by_province,ข้าว,กาญจนบุรี,ไร่,1,table,s1,198474,พืช ข้าว จังหวัด กาญจนบุรี ระดับความเหมาะสม s1 มีเนื้อที่ 198474 ไร่
พื้นที่ความเหมาะสมพืชรายจังหวัด,-13-pdf (1).pdf,crop_suitability_by_province,ข้าว,กาญจนบุรี,ไร่,9,table,s1,1920,พืช ข้าว จังหวัด กาญจนบุรี ระดับความเหมาะสม s1 มีเนื้อที่ 1920 ไร่
พื้นที่ความเหมาะสมพืชรายจังหวัด,-13-pdf (1).pdf,crop_suitability_by_province,ข้าว,กาฬสินธุ์,ไร่,1,table,s1,322672,พืช ข้าว จังหวัด กาฬสินธุ์ ระดับความเหมาะสม s1 มีเนื้อที่ 322672 ไร่
พื้นที่ความเหมาะสมพืชรายจังหวัด,-13-pdf (1).pdf,crop_suitability_by_province,ข้าว,กำแพงเพชร,ไร่,1,table,s1,1076458,พืช ข้าว จังหวัด กำแพงเพชร ระดับความเหมาะสม s1 มีเนื้อที่ 1076458 ไร่
พื้นที่ความเหมาะสมพืชรายจังหวัด,-13-pdf (1).pdf,crop_suitability_by_province,ข้าว,กำแพงเพชร,ไร่,9,table,s1,3623,พืช ข้าว จังหวัด กำแพงเพชร ระดับความเหมาะสม s1 มีเนื้อที่ 3623 ไร่
พื้นที่ความเหมาะสมพืชรายจังหวัด,-13-pdf (1).pdf,crop_suitability_by_province,ข้าว,ขอนแก่น,ไร่,1,table,s1,167135,พืช ข้าว จังหวัด ขอนแก่น ระดับความเหมาะสม s1 มีเนื้อที่ 167135 ไร่
พื้นที่ความเหมาะสมพืชรายจังหวัด,-13-pdf (1).pdf,crop_suitability_by_province,ข้าว,จันทบุรี,ไร่,2,table,s1,13182,พืช ข้าว จังหวัด จันทบุรี ระดับความเหมาะสม s1 มีเนื้อที่ 13182 ไร่
พื้นที่ความเหมาะสมพืชรายจังหวัด,-13-pdf (1).pdf,crop_suitability_by_province,ข้าว,จันทบุรี,ไร่,10,table,s1,86,พืช ข้าว จังหวัด จันทบุรี ระดับความเหมาะสม s1 มีเนื้อที่ 86 ไร่
พื้นที่ความเหมาะสมพืชรายจังหวัด,-13-pdf (1).pdf,crop_suitability_by_province,ข้าว,ฉะเชิงเทรา,ไร่,2,table,s1,366477,พืช ข้าว จังหวัด ฉะเชิงเทรา ระดับความเหมาะสม s1 มีเนื้อที่ 366477 ไร่
พื้นที่ความเหมาะสมพืชรายจังหวัด,-13-pdf (1).pdf,crop_suitability_by_province,ข้าว,ชลบุรี,ไร่,2,table,s1,25498,พืช ข้าว จังหวัด ชลบุรี ระดับความเหมาะสม s1 มีเนื้อที่ 25498 ไร่
พื้นที่ความเหมาะสมพืชรายจังหวัด,-13-pdf (1).pdf,crop_suitability_by_province,ข้าว,ชัยนาท,ไร่,1,table,s1,691554,พืช ข้าว จังหวัด ชัยนาท ระดับความเหมาะสม s1 มีเนื้อที่ 691554 ไร่
พื้นที่ความเหมาะสมพืชรายจังหวัด,-13-pdf (1).pdf,crop_suitability_by_province,ข้าว,ชัยนาท,ไร่,9,table,s1,500,พืช ข้าว จังหวัด ชัยนาท ระดับความเหมาะสม s1 มีเนื้อที่ 500 ไร่
พื้นที่ความเหมาะสมพืชรายจังหวัด,-13-pdf (1).pdf,crop_suitability_by_province,ข้าว,ชัยภูมิ,ไร่,1,table,s1,120176,พืช ข้าว จังหวัด ชัยภูมิ ระดับความเหมาะสม s1 มีเนื้อที่ 120176 ไร่
พื้นที่ความเหมาะสมพืชรายจังหวัด,-13-pdf (1).pdf,crop_suitability_by_province,ข้าว,ชัยภูมิ,ไร่,9,table,s1,70,พืช ข้าว จังหวัด ชัยภูมิ ระดับความเหมาะสม s1 มีเนื้อที่ 70 ไร่
