ชื่อพืช,ต้นทุนต่อไร่ (บาท),ผลผลิตต่อไร่ (กก.),ปี,ราคาขาย (บาท/กก.),ราคาที่ขายได้ (บาท),กำไรขั้นต้นที่ได้
ข้าวหอมมะลิ,4481.97,431,2566,15.75,6788.25,2306.28
มันสำปะหลัง,5555,3115,2567,2.78,8659.7,3104.7
ปาล์มน้ำมัน,8623,693,2567,3.2,2217.6,-6405.4
อ้อยโรงงาน,12010,10310,2567,1.2,12372,362
ข้าวโพดเลี้ยงสัตว์,5370,699,2567,6.49,4536.51,-833.49
สับปะรด,18025.38,3771,2566,7.95,29979.45,11954.07
ลำไย,22483,1308,2567,23,30084,7601
เงาะ,14334.54,1174,2566,32.56,38225.44,23890.9
ทุเรียน,39522.65,1405,2566,134.22,188579.1,149056.45
มะพร้าว,6078.24,1134,2566,10.22,11589.48,5511.24
กาแฟโรบัสต้า,6264.44,91,2565,75.24,6846.84,582.4
มังคุด,18075.7,667,2566,44.5,29681.5,11605.8
ยางพารา,6772,186,2567,29,5394,-1378
