topic,data_type,year,source_file,source_table,Region,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
rainfall,rainfall,2566,table4_rainfall_2566.csv,table4_rainfall,North,2.0,14.7,14.3,25.1,122.0,109.6,145.1,157.7,353.7,236.2,10.7,2.8,1193.9
rainfall,rainfall,2566,table4_rainfall_2566.csv,table4_rainfall,Northeast,13.8,5.8,12.0,46.6,121.3,203.3,262.6,221.8,369.3,164.2,15.1,0.6,1436.4
rainfall,rainfall,2566,table4_rainfall_2566.csv,table4_rainfall,Central,0.0,24.2,2.1,30.1,68.1,97.8,147.0,158.5,251.9,184.4,50.4,8.2,1022.7
rainfall,rainfall,2566,table4_rainfall_2566.csv,table4_rainfall,East,5.7,29.0,15.9,69.1,150.2,194.7,260.0,149.2,368.3,255.4,54.9,8.9,1561.3
rainfall,rainfall,2566,table4_rainfall_2566.csv,table4_rainfall,South_East_Coast,185.9,74.4,26.3,15.4,92.9,113.8,135.6,89.0,167.9,189.0,450.6,232.3,1773.1
rainfall,rainfall,2566,table4_rainfall_2566.csv,table4_rainfall,South_West_Coast,62.3,32.0,19.6,71.2,355.5,248.2,430.0,390.9,590.1,292.8,204.0,66.0,2762.6
rainfall,rainfall,2566,table4_rainfall_2566.csv,table4_rainfall,Thailand,38.9,26.6,15.0,39.5,138.0,155.0,213.6,183.0,342.5,215.4,108.2,44.9,1520.6
rainfall,rainfall,2567,table4_rainfall_2567.csv,table4_rainfall,North,10.4,1.0,28.2,25.8,191.7,144.7,220.5,279.2,255.9,150.1,25.0,6.7,1339.2
rainfall,rainfall,2567,table4_rainfall_2567.csv,table4_rainfall,Northeast,3.6,1.8,69.2,14.1,214.2,181.0,270.4,237.6,349.1,87.1,5.4,0.2,1433.7
rainfall,rainfall,2567,table4_rainfall_2567.csv,table4_rainfall,South_East_Coast,74.0,16.7,21.2,14.1,95.3,93.4,139.9,129.1,131.5,239.8,728.2,363.1,2046.3
rainfall,rainfall,2567,table4_rainfall_2567.csv,table4_rainfall,East,10.7,23.9,63.3,6.6,281.1,232.2,444.2,250.8,395.3,225.6,41.5,1.3,1976.5
rainfall,rainfall,2567,table4_rainfall_2567.csv,table4_rainfall,Thailand,18.3,7.6,43.0,20.4,208.7,175.1,260.4,258.1,314.8,187.9,145.8,64.3,1704.4
rainfall,rainfall,2567,table4_rainfall_2567.csv,table4_rainfall,South_West_Coast,13.6,6.3,32.4,63.0,303.2,361.4,343.1,504.7,655.0,372.4,172.1,67.5,2894.7
rainfall,rainfall,2567,table4_rainfall_2567.csv,table4_rainfall,Central,4.2,3.6,41.1,7.8,222.4,117.2,203.6,217.2,247.2,203.9,34.9,1.5,1304.6
rainfall,rainfall,2568,table4_rainfall_2568.csv,table4_rainfall,Northeast,0.0,7.9,50.4,63.4,277.5,233.7,238.2,244.0,304.7,85.5,55.7,7.2,1568.2
rainfall,rainfall,2568,table4_rainfall_2568.csv,table4_rainfall,North,0.0,21.8,7.0,107.7,263.0,127.3,274.2,233.0,253.3,109.2,123.5,4.6,1524.6
rainfall,rainfall,2568,table4_rainfall_2568.csv,table4_rainfall,South_West_Coast,18.4,46.8,60.1,221.0,469.7,417.2,211.4,390.1,391.6,449.8,381.1,39.5,3096.7
rainfall,rainfall,2568,table4_rainfall_2568.csv,table4_rainfall,Thailand,18.4,34.1,37.4,110.5,283.4,190.6,212.9,234.6,283.1,165.5,212.2,33.3,1816.0
rainfall,rainfall,2568,table4_rainfall_2568.csv,table4_rainfall,East,0.0,41.0,73.7,101.6,324.6,246.1,245.4,316.3,395.6,154.0,91.4,2.6,1992.3
rainfall,rainfall,2568,table4_rainfall_2568.csv,table4_rainfall,South_East_Coast,108.5,96.8,38.0,120.9,175.1,117.6,69.7,125.4,131.3,220.6,653.4,170.0,2027.3
rainfall,rainfall,2568,table4_rainfall_2568.csv,table4_rainfall,Central,0.0,11.0,21.5,111.5,280.8,95.2,166.9,131.8,287.7,156.1,143.9,2.6,1409.0
temperature,mean,2566,table1_mean_temperature_2566.csv,table1_mean_temperature,North,22.6,25.2,27.9,31.3,30.4,29.2,29.0,28.0,27.6,27.2,26.3,25.1,27.5
temperature,mean,2566,table1_mean_temperature_2566.csv,table1_mean_temperature,Northeast,22.4,26.3,28.4,31.8,30.8,29.3,29.0,28.6,27.6,27.9,26.6,25.3,27.8
temperature,mean,2566,table1_mean_temperature_2566.csv,table1_mean_temperature,Central,25.6,27.8,29.7,32.0,31.7,30.4,29.8,29.5,28.7,28.7,27.7,27.5,29.1
